Symbol,Sector,Sub-Industry,Headquarter,Founded
JNJ,Health Care,Pharmaceuticals,"New Brunswick, New Jersey",1886
JCI,Industrials,Building Products,"Cork, Ireland",1885
JPM,Financials,Diversified Banks,"New York City, New York",2000
JNPR,Information Technology,Communications Equipment,"Sunnyvale, California",1996
K,Consumer Staples,Packaged Foods & Meats,"Battle Creek, Michigan",1906
KDP,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,"Burlington, Massachusetts",1981
KEY,Financials,Regional Banks,"Cleveland, Ohio",1825
KEYS,Information Technology,Electronic Equipment & Instruments,"Santa Rosa, California",2014
KMB,Consumer Staples,Household Products,"Irving, Texas",1872
KIM,Real Estate,Retail REITs,"New Hyde Park, New York",1958
KMI,Energy,Oil & Gas Storage & Transportation,"Houston, Texas",1997
KLAC,Information Technology,Semiconductor Materials & Equipment,"Milpitas, California",1975
KHC,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois; Pittsburgh, Pennsylvania",2015
KR,Consumer Staples,Food Retail,"Cincinnati, Ohio",1883
LHX,Industrials,Aerospace & Defense,"Melbourne, Florida",2019
LH,Health Care,Health Care Services,"Burlington, North Carolina",1978
LRCX,Information Technology,Semiconductor Materials & Equipment,"Fremont, California",1980
LW,Consumer Staples,Packaged Foods & Meats,"Eagle, Idaho",2016
LVS,Consumer Discretionary,Casinos & Gaming,"Las Vegas, Nevada",1988
LDOS,Industrials,Diversified Support Services,"Reston, Virginia",1969
LEN,Consumer Discretionary,Homebuilding,"Miami, Florida",1954
LNC,Financials,Multi-line Insurance,"Radnor, Pennsylvania",1905
LIN,Materials,Industrial Gases,"Guildford, United Kingdom",1879
LYV,Communication Services,Movies & Entertainment,"Beverly Hills, California",2010
LKQ,Consumer Discretionary,Distributors,"Chicago, Illinois",1998
LMT,Industrials,Aerospace & Defense,"Bethesda, Maryland",1995
L,Financials,Multi-line Insurance,"New York City, New York",1959
LOW,Consumer Discretionary,Home Improvement Retail,"Mooresville, North Carolina",1904
LYB,Materials,Specialty Chemicals,"Rotterdam, Netherlands",2007
MTB,Financials,Regional Banks,"Buffalo, New York",1856
MRO,Energy,Oil & Gas Exploration & Production,"Houston, Texas",1887
MPC,Energy,Oil & Gas Refining & Marketing,"Findlay, Ohio",2009
MKTX,Financials,Financial Exchanges & Data,"New York City, New York",2000
MAR,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Bethesda, Maryland",1927
MMC,Financials,Insurance Brokers,"New York City, New York",1905
MLM,Materials,Construction Materials,"Raleigh, North Carolina",1993
MAS,Industrials,Building Products,"Livonia, Michigan",1929
MA,Financials,Transaction & Payment Processing Services,"Harrison, New York",1966
MTCH,Communication Services,Interactive Media & Services,"Dallas, Texas",1986
MKC,Consumer Staples,Packaged Foods & Meats,"Hunt Valley, Maryland",1889
MCD,Consumer Discretionary,Restaurants,"Chicago, Illinois",1940
MCK,Health Care,Health Care Distributors,"Irving, Texas",1833
MDT,Health Care,Health Care Equipment,"Dublin, Ireland",1949
MRK,Health Care,Pharmaceuticals,"Kenilworth, New Jersey",1891
META,Communication Services,Interactive Media & Services,"Menlo Park, California",2004
MET,Financials,Life & Health Insurance,"New York City, New York",1868
MTD,Health Care,Life Sciences Tools & Services,"Columbus, Ohio",1945
MGM,Consumer Discretionary,Casinos & Gaming,"Paradise, Nevada",1986
MCHP,Information Technology,Semiconductors,"Chandler, Arizona",1989
MU,Information Technology,Semiconductors,"Boise, Idaho",1978
MSFT,Information Technology,Systems Software,"Redmond, Washington",1975
MAA,Real Estate,Residential REITs,"Memphis, Tennessee",1977
MRNA,Health Care,Biotechnology,"Cambridge, Massachusetts",2010
MHK,Consumer Discretionary,Home Furnishings,"Calhoun, Georgia",1878
MOH,Health Care,Managed Health Care,"Long Beach, California",1980
TAP,Consumer Staples,Brewers,"Chicago, Illinois",2005
MDLZ,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",2012
MPWR,Information Technology,Semiconductors,"Kirkland, Washington",1997
